id,inventory_id,inspection_id,inspection_type,engine_starts_properly,engine_starts_properly_notes,engine_idles_properly,engine_idles_properly_notes,engine_noise,engine_noise_notes
15166619,417322,123865,pre_auction,fail,test,,,,
15166631,417322,123865,pre_auction,fail,test,,,,
15167785,417322,123874,pre_auction,fail,test,,,,
15167853,417322,123874,pre_auction,fail,test,,,,
15167871,417322,123874,pre_auction,fail,test,,,,
15167929,417322,123874,pre_auction,fail,test,,,,
15167938,417322,123874,pre_auction,fail,test,,,,
15167991,417322,123874,pre_auction,fail,test,,,,
15168012,417322,123874,pre_auction,fail,test,,,,
15168249,417322,123874,pre_auction,fail,test,,,,
15168859,417322,123874,pre_auction,fail,test,,,,
15168929,417322,123874,pre_auction,fail,test,,,,
15168987,417322,123874,pre_auction,fail,test,,,,
15169002,417322,123874,pre_auction,fail,test,,,,
15169005,417322,123874,pre_auction,fail,test,,,,
15170427,417322,123884,pre_auction,fail,test,,,,
15170430,417322,123884,pre_auction,fail,test,,,,
15822860,350398,130487,auction,,,fail,,,
15822969,350398,130487,auction,,,fail,,,
17076867,466739,142800,auction,,,,,fail,alternator damage got
24805145,589417,211800,auction,,,fail,engine mounting worn,,
26300678,543245,223288,auction,,,fail,engine vibrate suspect engine mounting,,
28441901,622154,239961,auction,,,fail,engine mounting worn engine idle vibrate,,
28957910,649424,244572,auction,,,,,fail,alternator noise
29932045,655164,252614,auction,,,,,fail,noise when speeding or slow driving suspect belt tensioner bearing
31280566,658257,264992,auction,,,fail,engine a bit rough and vibrate,fail,rough sound when driving
32163934,665846,273379,listing,,,,,fail,tensioner bearing and idle bearing mulfunction. engine got noise need to check first
32630074,708859,277895,auction,,,,,fail,Belt Noise
32630118,708859,277895,auction,,,,,fail,Belt Noise
32715795,709246,278692,auction,,,,,fail,Belt Noise
32721304,708378,278740,auction,,,,,fail,Belt Noise
32722820,708378,278740,auction,,,,,fail,Belt Noise
32724381,709738,278773,auction,,,,,fail,GOT HUMMING NOISE
32725316,708000,278755,auction,,,,,fail,HUMMING NOISE
32728854,709367,278838,auction,,,,,fail,Belt Noise
32729095,709225,278795,auction,,,,,fail,Knocking Noise
32751099,709162,279071,auction,,,,,fail,rough noise
32756063,710984,279128,auction,,,,,fail,Belt Noise AND HUMMING NOISE
32816692,708050,279670,auction,,,,,fail,SQUEEKING NOISE AND ABNORMAL VIBRATE ( CANT JUSTIFY WHAT NOISE )
32841376,712113,279928,auction,fail,Hard To Start,fail,Idling Unstable,fail,Belt Noise AND KNOCKING NOISE (SUGGEST REPIAR)
32841422,712113,279928,auction,fail,Hard To Start,fail,Idling Unstable,fail,Belt Noise AND KNOCKING NOISE (SUGGEST REPIAR)
32895268,707139,280406,auction,,,,,fail,Knocking Noise
32895295,711441,280408,auction,,,,,fail,DIESEL NOISE
32896451,711990,280419,auction,fail,Hard To Start,,,fail,Belt Noise
32896743,712342,280421,auction,,,,,fail,HUMMING NOISE
32896924,711490,280426,auction,,,,,fail,ABNORMAL NOISE
32896949,711490,280426,auction,,,,,fail,ABNORMAL NOISE
32897170,590233,280429,auction,,,,,fail,Belt Noise and KNOCKING ENGINE DIESEL NOISE
32897473,712334,280431,auction,,,,,fail,Belt Noise
32900436,710203,280456,auction,,,,,fail,Belt Noise
32921847,711405,280669,auction,,,,,fail,"BELT NOISE,HUMMING NOISE AND KNOCKING NOISE (SUGGEST REPAIR)"
32923914,712579,280632,auction,,,,,fail,HUMMING NOISE
32927508,686011,280724,listing,,,fail,engine idle vibrate suspect engine mounting worn,,
32928213,707570,280684,auction,,,,,fail,ABNORMAL NOISE(CANNOT JUSTIFY WHAT NOISE)
32932596,710191,280781,auction,,,,,fail,Knocking Noise
32934146,711154,280783,auction,,,,,fail,TICKING NOISE AND ROUGH NOISE
32968540,707132,281124,auction,,,,,fail,Knocking Noise
32969899,713534,281142,auction,,,,,fail,SQUEEKING NOISE AND ABNORMAL VIBRATE ( CANT JUSTIFY WHAT NOISE )
32970291,711825,281149,auction,,,,,fail,Belt Noise AND ABNORMAL NOISE
32970689,690041,281156,auction,,,fail,Idling Unstable,fail,Knocking Noise
32977138,707082,281233,auction,fail,Hard To Start,fail,Idling Unstable,fail,Knocking Noise
32977520,713591,281241,auction,,,fail,UNSTABLE,,
32987153,710873,281344,auction,,,,,fail,ABNORMAL NOISE
32989684,710241,281370,auction,fail,Hard To Start,,,fail,Knocking Noise
32997173,711646,281452,auction,,,,,fail,Belt Noise
33069556,712706,282200,auction,,,fail,Idling Unstable,fail,Belt Noise
33069574,715063,282201,auction,,,,,fail,ABNORMAL NOISE
33069940,714795,282202,auction,,,,,fail,Knocking Noise
33073701,713938,282240,auction,,,,,fail,Belt Noise
